Ingredient,Amount,Unit,Description
"Apple, gala",160,g,"1 medium"
"Unsweetened coconut flakes",40,g,"1/3 cup"
"Almond butter",48,g,"3 tbsp"
"Honey",10,g,"1/2 tbsp"
"Chocolate chips",30,g,"2 tbsp"
"Extra virgin coconut oil",2.5,g,"1/2 tsp"
Servings,12
