Ingredient,Amount,Unit,Description
"Onion",220,g,"2 medium"
"Carrots",227,g,"8 oz"
"Celery",113,g,"4 oz"
"Frozen broccoli, thawed",680,g,"1.5 lb"
"Minced garlic",30,g,"2 tbsp"
"Ginger, fresh",28,g,"1 oz"
"Whole wheat pasta",170,g,"6 oz"
"Boneless skinless chicken thighs",907,g,"2 lb"
"Low sodium soy sauce",28,g,"2 tbsp"
"Chicken bouillon powder",24,g,"2 tbsp"
"Thyme, dried",3,g,"1 tbsp"
"Garlic powder",10,g,"1 tbsp"
"Onion powder",7,g,"1 tbsp"
"Cumin, ground",6,g,"2 tsp"
"Black pepper, ground",2,g,"1 tsp"
"Allspice, ground",2,g,"1 tsp"
"Turmeric, ground",2,g,"1/2 tsp"
"Cinnamon",1,g,"1/2 tsp"
"Nutmeg, ground",1,g,"1/2 tsp"
"Cayenne pepper",1,g,"1/2 tsp"
"Water",960,g,"4 cup"
"Lemon juice",60,g,"1/4 cup"
Servings,6
