Ingredient,Amount,Unit,Description
"Almond flour",280,g,"2.5 cup"
"Vital wheat gluten",240,g,"2 cup"
"Inulin",50,g,"1/4 cup"
"Dry yeast",12,g,"1 tbsp"
"Salt",9,g,"1/2 tbsp"
"Apple cider vinegar",30,g,"2 tbsp"
"Water",320,g,"1.33 cup"
Servings,24
