Ingredient,Amount,Unit,Description
"Whole wheat flour",180,g,"1.5 cup"
"Vanilla instant pudding mix",96,g,"3.4 oz"
"Baking soda",6,g,"1 tsp"
"Baking powder",6,g,"1 tsp"
"Salt",3,g,"1/2 tsp"
"Banana, overripe",220,g,"2 medium"
"Vanilla Nonfat Greek Yogurt, Sugar Free",113,g,"1/2 cup"
"Maple syrup",80,g,"1/4 cup"
"Egg",101,g,"2 large"
"Rum extract",2.5,g,"1/2 tsp"
"Extra virgin coconut oil",109,g,"1/2 cup, room temperature"
"Granulated sugar",50,g,"1/4 cup"
"Unsweetened coconut flakes",15,g,"3 tbsp"
Servings,15
