Ingredient,Amount,Unit,Description
"Nuts, almonds",122,g,"1.33 cup, sliced"
"Cereals, Dry, Quick Oats, QUAKER",40,g,"0.5 cup"
"Syrups, maple",40,g,"2 tbsp"
"Unsweetened vanilla almond milk, unsweetened vanilla by Danone US, LLC",15,g,"0.0625 cup (240.0 ml) aprx"
"Cocoa, unsweetened, dry powder",11,g,"2 tbsp"
"Vanilla extract",4,g,"1 tsp"
"Spices, ground, cinnamon",3,g,"1 tsp"
"Salt, table",2,g,"0.25 tsp"
"Coconut milk, used in cooking",100,g,""
"Unsweetened coconut milk by HARVEST",383,g,"13.5 ounce"
"Unsweetened vanilla almond milk, unsweetened vanilla by Supervalu, Inc.",360,g,"1.5 cup (240.0 ml) aprx"
"Cocoa, HERSHEY'S European Style Cocoa, unsweetened, dry powder",20,g,"4 tbsp"
"Cornstarch",32,g,"0.25 cup"
"Syrup, Canadian, maple",79,g,"0.25 cup"
"Pure vanilla extract by CITLALI",5,g,"1 tsp"
"Pure almond extract by FIRST STREET",5,g,"1 tsp (1.2 ml) aprx"
Servings,12
