Ingredient,Amount,Unit,Description
"Artichokes",397,g,"14 oz can"
"Frozen spinach, thawed",142,g,"5 oz"
"Plain nonfat greek yogurt",226,g,"1 cup"
"Nonfat cottage cheese",113,g,"1/2 cup, blended"
"Shredded mozzarella cheese, low moisture part skim",84,g,"3/4 cup"
"Shredded cheddar cheese",85,g,"3/4 cup"
"Grated parmesan cheese",30,g,"1/4 cup"
"Extra virgin olive oil",15,g,"1 tbsp"
"Black pepper, ground",3,g,"1 tsp"
Servings,8
