Ingredient,Amount,Unit,Description
"Sweet potato, unprepared, raw",260,g,"2 sweetpotato, 5in long"
"Extra virgin olive oil by QO",5,g,"0.33 tbsp (15.0 ml) aprx"
"Soy sauce made from soy and wheat (shoyu), low sodium",5,g,"0.33 tbsp"
"Leavening agents, baking soda",1,g,"0.25 tsp"
"Spices, paprika",2,g,"1 tsp"
"Spices, chili powder",3,g,"1 tsp"
"Spices, onion powder",2,g,"1 tsp"
"Spices, garlic powder",3,g,"1 tsp"
"Spices, black, pepper",1,g,"0.5 tsp, ground"
"Salt, table",2,g,"0.25 tsp"
"Spices, red or cayenne, pepper",0,g,"0.25 tsp"
"Shredded mild cheddar cheese by BORDEN",56,g,"0.5 cup"
"Cornstarch by Tops Markets, LLC",3,g,"0.33 tbsp"
"Almond milk, unsweetened",61,g,"0.25 cup"
"Beef, raw, 93% lean meat / 7% fat, ground",454,g,"1 pound"
"Extra virgin olive oil by OLIO",7,g,"0.5 tbsp (15.0 ml) aprx"
"Low Sodium Soy Sauce by First Street",9,g,"0.67 tbsp"
"Paprika by ROUNDY'S",5,g,"2 tsp"
"Garlic powder by EL SABOR",2,g,"1 tsp"
"Onion powder by ADAMS",4,g,"1 tsp"
"Table salt by FIRST STREET",3,g,"0.5 tsp | about"
"Ground black pepper by Grace Kennedy Co. Ltd",1,g,"0.5 tsp"
"Cayenne pepper by MEMBER'S MARK",1,g,"1 1/4 tsp"
"Romaine lettuce, raw",752,g,"2 head"
"Tomatoes, raw",240,g,"4 Italian tomato"
"Onions, raw",70,g,"1 small"
"Pickles, sour, cucumber",28,g,"4 slice"
"Tomato paste by TAT",170,g,"6 ounce"
"Yogurt, plain, nonfat milk, Greek",31,g,"0.125 cup"
"Lemon juice from concentrate, REAL LEMON, bottled",20,g,"1.33 tbsp"
"Dijon mustard by KOOPS'",10,g,"2 tsp"
"Soy sauce, reduced sodium",11,g,"0.67 tablespoon"
"Chili powder by ROUNDY'S",3,g,"1 tsp"
"Garlic powder by Target Stores",2,g,"0.5 tsp"
"Onion powder by Target Stores",1,g,"0.5 tsp"
"Organic ground black pepper by Wal-Mart Stores, Inc.",1,g,"0.25 tsp"
Servings,4
