Ingredient,Amount,Unit,Description
"Apple, gala",600,g,"4 medium"
"Honey, or maple syrup",21,g,"1 tbsp"
"Cornstarch",16,g,"2 tbsp"
"Lemon juice",15,g,"1 tbsp"
"Cinnamon",5,g,"2 tsp"
"Nutmeg, ground",1,g,"1/2 tsp"
"Ginger, ground",1,g,"1/2 tsp"
"Allspice, ground",0,g,"1/4 tsp"
"Salt",1.5,g,"1/4 tsp"
"Cloves, ground",0,g,"1/8 tsp"
"Quick oats",100,g,"1.25 cup"
"Maple syrup, or honey",20,g,"1 tbsp"
"Extra virgin coconut oil",28,g,"2 tbsp"
"Cinnamon",5,g,"2 tsp"
"Ginger, ground",1,g,"1/2 tsp"
"Nutmeg, ground",1,g,"1/2 tsp"
"Cloves, ground",1,g,"1/4 tsp"
"Salt",1.5,g,"1/4 tsp"
Servings,8
