Ingredient,Amount,Unit,Description
"Pepper, raw, red, sweet",240,g,"2 medium"
"Salt, table",0,g,"1 dash"
"Extra virgin olive oil by QO",5,g,"1 tsp"
"Chickpeas (garbanzo beans, bengal gram), rinsed in tap water, drained, canned, mature seeds",254,g,"15.5oz can"
"Lemon juice from concentrate, REAL LEMON, bottled",60,g,"4 tbsp"
"Almond butter by JUSTIN'S",32,g,"2 tbsp"
"Minced garlic by STONEMILL",30,g,"2 tbsp"
"Spices, dried, basil",2,g,"1 tbsp, leaves"
"Cumin ground by ROUNDY'S",3,g,"1 tsp"
"Spices, paprika",2,g,"1 tsp"
"Spices, black, pepper",1,g,"1/2 tsp"
"Spices, red or cayenne, pepper",0,g,"1/4 tsp"
"Table salt by FIRST STREET",2,g,"1/4 tsp"
Servings,14
