Ingredient,Amount,Unit,Description
"Banana, overripe",370,g,"3 large"
"Plain nonfat greek yogurt",113,g,"1/2 cup"
"Sugar free syrup",140,g,"7 tbsp"
"Unsweetened almond milk",80,g,"1/3 cup"
"Whole wheat flour",160,g,"1.33 cup"
"Oat flour",56,g,"1/2cup + 2tbsp"
"Whey protein powder, vanilla",75,g,"2.5 scoop"
"Baking soda",6,g,"1 tsp"
"Cinnamon",3,g,"1 tsp"
"Baking powder",3,g,"1/2 tsp"
"Salt",3,g,"1/2 tsp"
"Cloves, ground",2,g,"1 tsp"
"Nutmeg, ground",1.5,g,"1/2 tsp"
"Walnuts",85,g,"1/2 cup, chopped"
"Sugar free chocolate chips",85,g,"1/2 cup"
Servings,30
