Ingredient,Amount,Unit,Description
"Boneless skinless chicken breast",907,g,"2 lb"
"Extra virgin olive oil",15,g,"1 tbsp"
"Paprika",3,g,"1 tsp"
"Garlic powder",3,g,"1 tsp"
"Onion powder",3,g,"1 tsp"
"Black pepper, ground",1.5,g,"1/2 tsp"
"Salt",3,g,"1/2 tsp"
"Ginger, ground",0.5,g,"1/4 tsp"
"Carrots",454,g,"1 lb"
"Onion",220,g,"2 medium"
"Extra virgin olive oil",15,g,"1 tbsp"
"Coleslaw mix",397,g,"14oz bag"
"Paprika",3,g,"1 tsp"
"Garlic powder",3,g,"1 tsp"
"Onion powder",3,g,"1 tsp"
"Black pepper, ground",1.5,g,"1/2 tsp"
"Salt",3,g,"1/2 tsp"
"Ginger, ground",0.5,g,"1/4 tsp"
"Powdered peanut butter",48,g,"1/2 cup"
"Soy sauce, low sodium, gluten free",60,g,"1/4 cup"
"Apple cider vinegar",60,g,"1/4 cup"
"Water",60,g,"1/4 cup"
"Gochujang",36,g,"2 tbsp"
"Cornstarch",3,g,"1 tsp"
"Ginger, ground",0.5,g,"1/4 tsp"
"Sesame oil",5,g,"1 tsp"
Servings,6
