Ingredient,Amount,Unit,Description
"Extra virgin olive oil by QO",14,g,"1 tbsp (15.0 ml) aprx"
"Minced garlic by STONEMILL",20,g,"4 tsp"
"White dry cooking wine by CONCHITA",60,g,"4 tbsp"
"Minced clams in juice by Bumble Bee Foods, LLC",553,g,"3 6.5oz cans"
"Spices, dried, parsley",2,g,"3 tsp"
"Spices, dried, basil",2,g,"3 tsp, leaves"
"Spices, onion powder",5,g,"2 tsp"
"Spices, garlic powder",6,g,"2 tsp"
"Spices, black, pepper",2,g,"1 tsp, ground"
"Salt, table",3,g,"0.5 tsp"
"Extra hot red pepper flakes by DOC MEYERS BRAND",0,g,"1/4 tsp"
Servings,8
