Ingredient,Amount,Unit,Description
"Pistachios",256,g,"2 cup"
"Salt",3,g,"1/2 tsp"
"Allulose",24,g,"2 tbsp"
"Mint extract",1.25,g,"1/4 tsp"
Servings,9
