Ingredient,Amount,Unit,Description
"Carrots",454,g,"1 pound"
"Onion",197,g,"1 Onion"
"Extra virgin olive oil",14,g,"1 tbsp (15.0 ml) aprx"
"Minced garlic",15,g,"3 tsp"
"Ground turkey, 93/7",454,g,"1 pound"
"Diced tomatoes",411,g,"14.5 ounce"
"Unsweetened tomato sauce",245,g,"1 cup"
"Basil, dried",1,g,"2 tsp, leaves"
"Oregano, dried",2,g,"2 tsp, leaves"
"Red pepper flakes",1,g,"0.5 tsp"
"Salt",0,g,"1 dash"
"Black pepper, ground",0,g,"1 dash"
"Balsamic vinegar",16,g,"1 tbsp"
"Water",711,g,"3 cup"
"Quick oats",160,g,"2 cup"
"Salt",2,g,"1/4 tsp"
"Grated parmesan cheese",15,g,"2 tbsp"
Servings,4
