Ingredient,Amount,Unit,Description
"Boneless skinless chicken breast",907,g,"2 pound"
"Extra virgin olive oil",7,g,"1/2 tbsp"
"Salt",3,g,"1/2 tsp"
"Black pepper, ground",1,g,"1/4 tsp"
"Onion",70,g,"1 small"
"Frozen broccoli, thawed",454,g,"1 pound"
"Salt",2,g,"1/4 tsp"
"Black pepper, ground",1,g,"1/4 tsp"
"Sweet potato",400,g,"3 medium"
"Extra virgin olive oil",7,g,"1/2 tbsp"
"Salt",2,g,"1/4 tsp"
"Black pepper, ground",1,g,"1/4 tsp"
"Gochujang",36,g,"2 tbsp"
"Low sodium soy sauce",71,g,"5 tbsp"
"Water",30,g,"2 tbsp"
"Garlic powder",3,g,"1 tsp"
"Cornstarch",3,g,"1 tsp"
"Ginger, ground",1,g,"1/2 tsp"
Servings,4
