Ingredient,Amount,Unit,Description
"Chickpeas (garbanzo beans, bengal gram), drained solids, canned, mature seeds",253,g,"1 can drained"
"Nonfat cottage cheese by FRESH & EASY",57,g,"0.25 cup"
"Extra virgin olive oil by QO",14,g,"1 tbsp (15.0 ml) aprx"
"Lemon juice from concentrate, REAL LEMON, bottled",60,g,"4 tbsp"
"Minced garlic by STONEMILL",30,g,"6 tsp"
"Cumin ground by ROUNDY'S",3,g,"1 tsp"
"Spices, chili powder",3,g,"1 tsp"
"Spices, paprika",2,g,"1 tsp"
"Spices, onion powder",2,g,"1 tsp"
"Spices, black, pepper",1,g,"0.5 tsp, ground"
"Salt, table",2,g,"0.25 tsp"
Servings,14
