Ingredient,Amount,Unit,Description
"Ground beef, 93/7",590,g,"1.3 lb"
"Extra virgin olive oil",15,g,"1 tbsp"
"Onion",220,g,"2 medium"
"Bell pepper",500,g,"5 medium"
"Chili powder",32,g,"1/4 cup"
"Cumin, ground",10,g,"1 tbsp"
"Salt",9,g,"1/2 tbsp"
"Minced garlic",30,g,"2 tbsp"
"Crushed tomatoes",794,g,"28oz can"
"Diced tomatoes",411,g,"14.5oz can"
"Beans, drained and rinsed",780,g,"3 15.5oz can"
"Cocoa powder",5,g,"1 tbsp"
"Powdered peanut butter",120,g,"1.25 cup"
"Peanuts",60,g,"1/2 cup, chopped"
Servings,6
