Ingredient,Amount,Unit,Description
"Extra virgin olive oil",5,g,"1 tsp"
"Onion",110,g,"1 medium"
"Frozen spinach, thawed",454,g,"1 lb"
"Navy beans, NOT drained or rinsed",440,g,"15.5 oz can"
"Tomato paste",168,g,"6 oz can"
"Minced garlic",30,g,"2 tbsp"
"Basil, dried",6,g,"2 tbsp"
"Oregano, dried",6,g,"2 tbsp"
"Garlic powder",6,g,"2 tsp"
"Onion powder",6,g,"2 tsp"
"Black pepper, ground",1.5,g,"1/2 tsp"
"Red pepper flakes",0.5,g,"1/2 tsp"
"Balsamic vinegar",30,g,"2 tbsp"
"Shredded mozzarella cheese, low moisture part skim",56,g,"1/2 cup"
Servings,2
