Ingredient,Amount,Unit,Description
"Slow Cooker Dried Beans",1260,g,"1 batch"
"Cabbage",1814,g,"4 lb"
"Crushed tomatoes",792,g,"28 oz can"
"Natural peanut butter",256,g,"1 cup"
"Chili powder",36,g,"1/4 cup"
"Garlic powder",18,g,"2 tbsp"
"Onion powder",18,g,"2 tbsp"
"Cumin, ground",9,g,"1 tbsp"
"Lemon juice",30,g,"2 tbsp"
Servings,8
