Ingredient,Amount,Unit,Description
"Oat flour",45,g,"1/2 cup"
"Grated parmesan cheese",30,g,"1/4 cup"
"Minced garlic",15,g,"1 tbsp"
"Ground flaxseed",13,g,"2 tbsp"
"Parsley, dried",3,g,"1 tbsp"
"Oregano, dried",3,g,"1 tbsp"
"Basil, dried",3,g,"1 tbsp"
"Garlic powder",5,g,"1/2 tbsp"
"Onion powder",5,g,"1/2 tbsp"
"Black pepper, ground",2,g,"1 tsp"
"Salt",3,g,"1/2 tsp"
"Frozen raw shrimp, peeled and deveined",454,g,"1 lb"
"Balsamic vinegar",30,g,"2 tbsp"
"Extra virgin olive oil",14,g,"1 tbsp"
"Lemon juice",15,g,"1 tbsp"
"Salt",1.5,g,"1/4 tsp"
Servings,4
