Ingredient,Amount,Unit,Description
"Pistachio butter",128,g,"1/2 cup"
"Sugar free syrup",40,g,"2 tbsp"
"Vanilla extract",5,g,"1 tsp"
"Sugar free chocolate chips",90,g,"1/2 cup"
"Extra virgin coconut oil",7,g,"1/2 tbsp"
Servings,10
