Ingredient,Amount,Unit,Description
"Seeds, with salt added, dry roasted, sunflower seed kernels",128,g,"1 cup"
"Avocados, California, raw",136,g,"1 fruit, without skin and seed"
"Bananas, raw, overripe",110,g,"1 Banana"
"Spices, ground, cinnamon",5,g,"2 tsp"
"Vanilla extract",4,g,"1 tsp"
"Salt, table",3,g,"0.5 tsp"
"Cocoa, unsweetened, dry powder",11,g,"2 tbsp"
"Unflavored 100% whey protein isolate protein powder, unflavored by ISOPURE",29,g,"1 scoop | about"
"Unflavored Casein Protein Powder by PROMIX",29,g,"1 serving"
Servings,50
