Ingredient,Amount,Unit,Description
"Phyllo dough",454,g,"1 lb"
"Pistachios",256,g,"2 cup"
"Honey",84,g,"1/4 cup"
"Cinnamon",10,g,"1 tbsp"
"Cloves, ground",0.5,g,"1/4 tsp"
"Water",60,g,"1/4 cup"
"Honey",252,g,"3/4 cup"
Servings,24
