Nutrient,Amount,Unit,DV
Calories,80,,
"Calcium",30.94,mg,2 %
"Iron",0.00,mg,0 %
"Potassium",56.03,mg,1 %
"Sodium",0.00,mg,0 %
"Protein",3.00,g,6 %
"Carbohydrate",2.00,g,1 %
"Fiber",1.00,g,4 %
"Sugars",1.00,g,
"Net carbs",1,g,
"Fat",7.001,g,9 %
"Saturated fatty acids",0.501,g,3 %
"Monounsaturated fatty acids",1.500,g,
"Polyunsaturated fatty acids",4.501,g,
