Ingredient,Amount,Unit,Description
"Fish, raw, pink, salmon",255,g,"9 oz"
"Spices, garlic powder",2,g,"0.5 tsp"
"Spices, onion powder",1,g,"0.5 tsp"
"Lemon pepper by LA CRIOLLA",1,g,"0.5 tsp"
"Lemon juice from concentrate, REAL LEMON, bottled",15,g,"1 tbsp"
"Onions, raw",70,g,"1 small"
"Tomatoes, raw",180,g,"3 Italian tomato"
"Peppers, raw, red, sweet",222,g,"3 small"
"Minced garlic by STONEMILL",20,g,"4 tsp"
"Lemon juice from concentrate, canned or bottled",30,g,"2 tbsp"
"Extra virgin olive oil by OLIO",14,g,"1 tbsp (15.0 ml) aprx"
"Hot sauce by LOUISIANA",15,g,"1 tbsp"
"Spices, dried, parsley",2,g,"3 tsp"
"Spices, dried, thyme",3,g,"3 tsp, leaves"
"Spices, dried, basil",2,g,"3 tsp, leaves"
"Lemon pepper by La Criolla Inc.",6,g,"2 tsp"
"Garlic powder by STONEMILL",3,g,"1 tsp"
Servings,3
