Ingredient,Amount,Unit,Description
"Spices, paprika",18,g,"8 tsp"
"Cumin ground by ROUNDY'S",13,g,"4 tsp"
"Spices, dried, oregano",3,g,"3 tsp, leaves"
"Spices, black, pepper",2,g,"1 tsp, ground"
"Salt, table",6,g,"1 tsp"
"Cornstarch by Tops Markets, LLC",1,g,"1/2 tsp"
"Spices, red or cayenne, pepper",1,g,"0.5 tsp"
"Extra virgin olive oil by QO",14,g,"1 tbsp (15.0 ml) aprx"
"Peppers, raw, red, sweet",296,g,"4 small"
"Lime juice from concentrate by Safeway, Inc.",15,g,"3 tsp"
"Extra virgin olive oil by OLIO",14,g,"1 tbsp (15.0 ml) aprx"
"Chicken, raw, ground",454,g,"1 pound"
"Water, generic, bottled",59,g,"0.25 cup"
"Apple cider vinegar by BRAGG",30,g,"2 tbsp"
"Lime juice from concentrate by Harris-Teeter Inc.",15,g,"3 tsp"
Servings,4
