Ingredient,Amount,Unit,Description
"Extra virgin coconut oil by KELAPO",56,g,"4 tbsp"
"Yogurt, plain, nonfat milk, Greek",61,g,"4 tbsp"
"Applesauce, unsweetened",61,g,"4 tbsp"
"Syrups, sugar free",80,g,"1/4 cup"
"Eggs, egg whole, Large, Grade A",101,g,"2 egg"
"Vanilla extract",10,g,"2 tsp"
"Leavening agents, baking soda",2.4,g,"1/2 tsp"
"Salt, table",3,g,"1/2 tsp"
"Cocoa, unsweetened, dry powder",40,g,"8 tbsp"
"Organic coconut flour by Bob's Red Mill Natural Foods, Inc.",14,g,"2 tbsp"
"Semisweet chocolate mini chips by Harris-Teeter Inc.",30,g,"2 tbsp"
Servings,16
