Ingredient,Amount,Unit,Description
"Chicken, raw, meat only, boneless, skinless, breast, broiler or fryers",907,g,"2 pound"
"Soy sauce made from soy and wheat (shoyu), low sodium",57,g,"4 tbsp"
"Gochujang sauce by BRANDLESS",36,g,"2 tbsp"
"Lemon juice from concentrate, REAL LEMON, bottled",30,g,"2 tbsp"
"Spices, black, pepper",5,g,"2 tsp, ground"
"Spices, paprika",5,g,"2 tsp"
"Spices, chili powder",5,g,"2 tsp"
"Spices, onion powder",5,g,"2 tsp"
"Brussels sprouts, unprepared, frozen",907,g,"2 pound"
"Low Sodium Soy Sauce by First Street",56,g,"4 tbsp"
"Sesame oil",28,g,"2 tablespoon"
"Lemon juice from concentrate, canned or bottled",30,g,"2 tbsp"
"Ground black pepper by Grace Kennedy Co. Ltd",6,g,"2 tsp"
"Paprika by ROUNDY'S",5,g,"2 tsp"
"Chili powder by ADAMS",4,g,"2 tsp"
"Garlic powder by EL SABOR",4,g,"2 tsp"
Servings,6
