Ingredient,Amount,Unit,Description
"Onions, raw",70,g,"1 small"
"Chickpeas (garbanzo beans, bengal gram), drained solids, canned, mature seeds",253,g,"1 can drained"
"Beans, drained solids, canned, mature seeds, red, kidney",266,g,"1 can drained solids"
"Beans, drained solids, canned, black",277,g,"1 can drained solids"
"Tomatoes, raw",180,g,"3 Italian tomato"
"Peppers, raw, red, sweet",74,g,"1 small"
"Cheese, feta",50,g,"0.33 cup, crumbled"
"Extra virgin olive oil by QO",28,g,"2 tbsp"
"Lemon juice from concentrate, REAL LEMON, bottled",30,g,"2 tbsp"
"Vinegar, balsamic",16,g,"1 tbsp"
"Apple cider vinegar by BRAGG",15,g,"1 tbsp"
"Dijon mustard by KOOPS'",15,g,"1 tbsp"
"Minced garlic by STONEMILL",15,g,"1 tbsp"
"Spices, dried, basil",2,g,"1 tbsp, leaves"
"Spices, dried, thyme",3,g,"1 tbsp, leaves"
"Spices, black, pepper",1,g,"1/2 tsp, ground"
"Salt, table",1.5,g,"1/4 tsp"
Servings,6
