Ingredient,Amount,Unit,Description
"Chicken, raw, meat only, boneless, skinless, breast, broiler or fryers",907,g,"2 pound"
"Italian seasoning by Raley's",10,g,"3 tsp"
"Spices, paprika",3,g,"1.5 tsp"
"Cumin ground by ROUNDY'S",5,g,"1.5 tsp"
"Spices, chili powder",4,g,"1.5 tsp"
"Spices, onion powder",4,g,"1.5 tsp"
"Spices, black, pepper",2,g,"1 tsp, ground"
"Soy sauce made from soy and wheat (shoyu), low sodium",43,g,"3 tbsp"
"Lemon juice from concentrate, REAL LEMON, bottled",30,g,"2 tbsp"
"Extra virgin olive oil by QO",14,g,"1 tbsp (15.0 ml) aprx"
"Ripe plantain, raw",360,g,"2 whole"
"Salt, table",0,g,"1 dash"
Servings,6
