Ingredient,Amount,Unit,Description
"Spinach, unprepared, chopped or leaf, frozen",454,g,"1 pound"
"Onions, raw",140,g,"2 small"
"Hot sauce by LOUISIANA",60,g,"4 tbsp"
"Minced garlic by STONEMILL",60,g,"4 tbsp"
"Spices, paprika",2,g,"1 tsp"
"Spices, chili powder",3,g,"1 tsp"
"Spices, garlic powder",3,g,"1 tsp"
"Spices, onion powder",2,g,"1 tsp"
"Spices, black, pepper",1,g,"0.5 tsp, ground"
"Salt, table",2,g,"0.25 tsp"
"Eggs, egg whole, Large, Grade A",302,g,"6 egg"
"Nonfat cottage cheese by FRESH & EASY",226,g,"1 cup"
"Salsa",140,g,"10 tbsp"
Servings,8
