Ingredient,Amount,Unit,Description
"Chickpeas (garbanzo beans, bengal gram), drained solids, canned, mature seeds",253,g,"15.5oz can"
"Honey",5,g,"1 tsp"
"Spices, ground, cinnamon",1,g,"0.5 tsp"
"Unsweetened vanilla almond milk, unsweetened vanilla by Danone US, LLC",120,g,"0.5 cup"
"Sugar substitute, liquid, stevia",3,g,"0.5 tsp"
"Unflavored 100% whey protein isolate protein powder, unflavored by ISOPURE",30,g,"1 scoop"
"Blackberries, unsweetened, frozen",76,g,"0.5 cup, unthawed"
"Nuts, almonds",23,g,"0.25 cup, sliced"
Servings,2
