Ingredient,Amount,Unit,Description
"Organic sweet potato puree by Stahlbush Island Farms, Inc.",190,g,"3/4 cup"
"Natural peanut butter by HAMPTON FARMS",128,g,"1/2 cup"
"Eggs, egg whole, Large, Grade A",101,g,"2 egg"
"Vanilla extract",4,g,"1 tsp"
"Spices, ground, cinnamon",3,g,"1 tsp"
"Salt, table",0,g,"1 small pinch"
"Syrups, sugar free",60,g,"3 tbsp"
"Chia seeds",24,g,"2 tbsp"
"Dark chocolate baking chips, dark chocolate by LILYS",90,g,"1/2 cup"
"Oat flour by Bob's Red Mill Natural Foods, Inc.",30,g,"1/4 cup"
"Leavening agents, baking soda",5,g,"1 tsp"
Servings,36
