Ingredient,Amount,Unit,Description
"Garlic, raw",33,g,"1 head"
"Nuts, dried, pine nuts",28,g,"1/4 cup"
"Spinach, unprepared, chopped or leaf, frozen",227,g,"0.5 pound"
"Chickpeas (garbanzo beans, bengal gram), rinsed in tap water, drained, canned, mature seeds",254,g,"15.5 oz can, rinsed"
"Lemon juice from concentrate, REAL LEMON, bottled",60,g,"4 tbsp"
"Kraft Grated Parmesan Cheese",30,g,"1/4 cup"
"Vinegar, balsamic",15,g,"1 tbsp"
"Nutritional yeast seasoning by BRAGG",9,g,"1 tbsp"
"Nonfat cottage cheese by FRESH & EASY",226,g,"1 cup"
"Spices, onion powder",3,g,"1 tsp"
"Salt, table",3,g,"1/2 tsp"
"Spices, black, pepper",1.2,g,"1/2 tsp, ground"
Servings,27
