Ingredient,Amount,Unit,Description
"Organic coconut flour by Bob's Red Mill Natural Foods, Inc.",79,g,"2/3 cup"
"Unflavored 100% whey protein isolate protein powder, unflavored by ISOPURE",50,g,"1.67 scoop"
"Baking powder by The Kroger Co.",14,g,"3 tsp"
"Salt, table",5,g,"0.75 tsp"
"Spices, garlic powder",2,g,"0.75 tsp"
"Eggs, egg whole, Large, Grade A",302,g,"6 egg"
"Apple cider vinegar by BRAGG",2.5,g,"1/2 tsp"
"Applesauce, unsweetened",81,g,"0.33 cup"
"Water, generic, bottled",78,g,"0.33 cup"
"Cheese, shredded, part-skim, low moisture, mozzarella",170,g,"6 ounce"
Servings,20
