Ingredient,Amount,Unit,Description
"Chicken, raw, meat only, boneless, skinless, breast, broiler or fryers",907,g,"2 pound"
"Salt, table",3,g,"0.5 tsp"
"Almond flour by RALEY'S",28,g,"4 tbsp"
"Spices, dried, oregano",1,g,"1 tsp, leaves"
"Spices, black, pepper",1,g,"0.5 tsp, ground"
"Spices, garlic powder",2,g,"0.5 tsp"
"Spices, onion powder",1,g,"0.5 tsp"
"Eggs, egg whole, Large, Grade A",101,g,"2 egg"
"Water, generic, bottled",44,g,"3 tbsp"
"Oat flour by Bob's Red Mill Natural Foods, Inc.",60,g,"1/2 cup"
"Kraft Grated Parmesan Cheese",30,g,"4 tbsp"
"Spices, dried, thyme",3,g,"3 tsp, leaves"
"Spices, dried, basil",2,g,"3 tsp, leaves"
"Table salt by FIRST STREET",3,g,"0.5 tsp"
"Ground black pepper by Grace Kennedy Co. Ltd",1,g,"0.5 tsp"
"Tomatoes, raw",240,g,"4 Italian tomato"
"Minced garlic by STONEMILL",15,g,"3 tsp"
"Lemon juice from concentrate, REAL LEMON, bottled",23,g,"1.5 tbsp"
"Spices, dried, parsley",3,g,"6 tsp"
"Basil lightly dried by GOURMET GARDEN",4,g,"2 tbsp"
"Table salt by Morton Salt, Inc.",5,g,"0.75 tsp"
Servings,6
