Ingredient,Amount,Unit,Description
"Beef top sirloin",339,g,"12 oz"
"Cornstarch",4,g,"1/2 tbsp"
"Baking soda",2.4,g,"1/2 tsp"
"Salt",1.5,g,"1/4 tsp"
"Low sodium soy sauce",14,g,"1 tbsp"
"Sesame oil",4,g,"1 tsp"
"Frozen broccoli, thawed",680,g,"1.5 pound"
"Extra virgin olive oil",7.5,g,"1/2 tbsp"
"Salt",1.5,g,"1/4 tsp"
"Black pepper, ground",1,g,"1/4 tsp, ground"
"Minced garlic",30,g,"2 tbsp"
"Low sodium soy sauce",28,g,"2 tbsp"
"White vinegar",20,g,"4 tsp"
"Garlic powder",3,g,"1 tsp"
"Ginger, ground",1,g,"1/2 tsp"
"Black pepper, ground",1,g,"1/2 tsp, ground"
"Red pepper flakes",1,g,"1/2 tsp"
"Water",356,g,"1.5 cup"
"Cornstarch",8,g,"1 tbsp"
Servings,3
