Ingredient,Amount,Unit,Description
"Eggplant, raw",548,g,"1 eggplant, unpeeled (approx 1-1/4 lb)"
"Chickpeas (garbanzo beans, bengal gram), rinsed in tap water, drained, canned, mature seeds",254,g,"15.5oz can"
"Lemon juice from concentrate, REAL LEMON, bottled",60,g,"4 tbsp"
"Minced garlic by STONEMILL",30,g,"2 tnsp"
"Almond butter by JUSTIN'S",32,g,"2 tbsp"
"Spices, dried, parsley",2,g,"1 tbsp"
"Cumin ground by ROUNDY'S",6,g,"2 tsp"
"Spices, paprika",5,g,"2 tsp"
"Salt, table",3,g,"0.5 tsp"
"Spices, black, pepper",1,g,"0.5 tsp, ground"
Servings,14
