Ingredient,Amount,Unit,Description
"Extra virgin coconut oil by KELAPO",35,g,"2.5 tbsp"
"Cocoa, unsweetened, dry powder",35,g,"7 tbsp"
"Syrups, sugar free",20,g,"1 tbsp"
"Salt, table",0,g,"tiny dash"
"Nonfat cottage cheese by FRESH & EASY",226,g,"1 cup"
"Sugar free syrup by Supervalu, Inc.",80,g,"1/4 cup"
"Vanilla extract",10,g,"2 tsp"
"Natural peanut butter by HAMPTON FARMS",64,g,"1/4 cup"
"Table salt by FIRST STREET",1.5,g,"1/4 tsp"
"Organic coconut flour by Bob's Red Mill Natural Foods, Inc.",56,g,"1/2 cup"
Servings,25
