Ingredient,Amount,Unit,Description
"Unflavored 100% whey protein isolate protein powder, unflavored by ISOPURE",30,g,"1 scoop"
"Syrups, sugar free",20,g,"1 tbsp"
"Spices, ground, cinnamon",1.5,g,"1/2 tsp"
"Salt, table",0,g,"Tiny pinch"
"Pure almond extract by FIRST STREET",1.25,g,"1/4 tsp"
"Yogurt, plain, nonfat milk, Greek",60,g,"0.25 cup"
"Organic coconut flour by Bob's Red Mill Natural Foods, Inc.",21,g,"3 tbsp"
"Organic oat flour by The Hain Celestial Group, Inc.",30,g,"1/3 cup"
"No Sugar Added Apple Spread",20,g,"1 tbsp"
"Natural peanut butter by HAMPTON FARMS",16,g,"1 tbsp"
Servings,1
