Ingredient,Amount,Unit,Description
"Peanut butter powder by PBFIT",45,g,"7.5 tbsp"
"Unflavored 100% whey protein isolate protein powder, unflavored by ISOPURE",30,g,"1 scoop"
"Unflavored Casein Protein Powder by PROMIX",30,g,"1 scoop"
"Organic coconut flour by Bob's Red Mill Natural Foods, Inc.",28,g,"4 tbsp"
"Spices, ground, cinnamon",3,g,"1 tsp"
"Salt, table",1.5,g,"1/4 tsp"
"Unsweetened vanilla almond milk, unsweetened vanilla by Danone US, LLC",120,g,"1/2 cup"
"Syrups, sugar free",20,g,"1 tbsp"
"Almond extract, or vanilla",5,g,"1 tsp"
Servings,6
