Ingredient,Amount,Unit,Description
"Eggs, egg yolk, Large, Grade A",34,g,"2 egg"
"Lemon juice from concentrate, REAL LEMON, bottled",5,g,"1 tsp"
"Yogurt, plain, nonfat milk, Greek",162,g,"0.67 cup"
"Minced garlic by STONEMILL",10,g,"2 tsp"
"Dijon mustard by KOOPS'",15,g,"3 tsp"
"Spices, dried, basil",1,g,"1 tsp, leaves"
"Salt, table",2,g,"0.25 tsp"
"Cumin ground by ROUNDY'S",1,g,"0.25 tsp"
"Spices, paprika",1,g,"0.25 tsp"
"Spices, black, pepper",1,g,"0.25 tsp, ground"
"Extra hot red pepper flakes by DOC MEYERS BRAND",0,g,"0.25 tsp"
Servings,8
