Ingredient,Amount,Unit,Description
"Chicken, raw, meat only, boneless, skinless, breast, broiler or fryers",907,g,"2 pound"
"Extra virgin olive oil by QO",7,g,"1/2 tbsp"
"Salt, table",3,g,"1.2 tsp"
"Spices, black, pepper",1,g,"1/4 tsp, ground"
"Onions, raw",70,g,"1 small"
"Broccoli, unprepared, chopped, frozen",454,g,"1 pound"
"Table salt by FIRST STREET",2,g,"1/4 tsp"
"Ground black pepper by MEMBER'S MARK",1,g,"1/4 tsp"
"Sweet potato, unprepared, raw",400,g,"3 medium"
"Extra virgin olive oil by BRAGG",7,g,"1/2 tbsp"
"Salt by Morton Salt, Inc.",2,g,"1/4 tsp"
"Ground black pepper by Grace Kennedy Co. Ltd",1,g,"1/4 tsp"
"Gochujang sauce by BRANDLESS",36,g,"2 tbsp"
"Soy sauce made from soy and wheat (shoyu), low sodium",71,g,"5 tbsp"
"Water, generic, bottled",30,g,"2 tbsp"
"Spices, garlic powder",3,g,"1 tsp"
"Cornstarch by Tops Markets, LLC",3,g,"1 tsp"
"Spices, ground, ginger",1,g,"1/2 tsp"
Servings,4
